"id","application_stage","application_stage_reason","sample_group","market_scope","company","title","city","category","degree","experience","employment_type","normalized_tech_stack","unmapped_tech_stack","tech_stack","requirements_summary","fit_note","source_type","source_url","posted_at","evidence_checked_at"
"J012","条件过滤","页面包含在读、实习或校招条件，2022 届社会招聘候选人需先核验资格。","国内·VLA/具身算法","中国大陆","上海人工智能实验室","机器人操作算法实习生（VLA/World-Action Model方向）","上海","VLA/WAM实习","本科或研究生在读","要求稳定线下实习6个月及以上","实习","Python; 深度学习; PyTorch; VLA 族; LeRobot; 强化学习/RL; 模仿学习/IL; CUDA/GPU; 机器人仿真; Isaac","World-Action Model; 点云","Python; PyTorch; VLA; World-Action Model; LeRobot; OpenPI; StarVLA; 点云; 模仿学习; 强化学习; Isaac Sim/Lab; ManiSkill; RoboCasa; CUDA","面向VLA/WAM操作基座模型开展算法复现、架构与训练策略改进、真机/仿真评测和数据构建；明确要求熟悉LeRobot、OpenPI或StarVLA等框架。","岗位要求直接验证了LeRobot项目路线的市场价值，但在读与6个月线下实习是硬约束；应把该JD作为每日学习计划和项目验收的核心参照。","官方招聘详情页","https://www.shlab.org.cn/joinus/detail/7650345340306278698?mode=campus","2026-07-15","2026-07-31"
"J013","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·VLA/具身算法","中国大陆","海康机器人","VLA算法工程师","杭州","机器人视觉感知/VLA","硕士及以上","未注明","全职","Python; C++; C; 深度学习; 计算机视觉; 相机/传感器/标定","目标检测/分割; 目标跟踪; 位姿估计; 三维重建; 视觉大模型","C/C++; Python; 计算机视觉; 深度学习; 目标检测/分割; 目标跟踪; 位姿估计; 三维重建; 视觉大模型; 激光/相机/3D相机","负责机器人环境与操作感知模型设计、训练部署和工程化，要求计算机视觉、深度学习、多类型传感器原理和实物模型部署经验。","传感器应用、C和设备联调可迁移至岗位的C++要求，但现代C++尚无项目证据；该岗本质偏视觉算法，需补齐PyTorch视觉训练、位姿估计/点云和真实相机标定部署，且硕士门槛需留意。","官方招聘详情页","https://talent.hikvision.com/home/socity/position?postId=DD28F5DD9578EBE6FD66AE4AB978A35E","2026-03-27","2026-07-31"
"J014","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·VLA/具身算法","中国大陆","海康机器人","算法工程师-智能控制","杭州","强化学习与智能控制","硕士及以上","未注明","全职","Python; C++; C; 强化学习/RL; 模仿学习/IL; 运动学/动力学; Sim-to-Real/仿真","位置控制; 力控制","C/C++; Python; 强化学习; 模仿学习; 机器人运动学; 动力学建模; 位置控制; 力控制; 仿真与实物部署","开发机器人运动控制及强化/模仿学习算法，完成仿真验证与实物部署；强调控制理论、运动学动力学以及学习方法训练部署流程。","嵌入式控制、实时通信和联调经验有一定关联；主要短板是控制理论、机器人建模、RL/IL训练和实物机械臂部署，完成项目后仍属进阶岗位。","官方招聘详情页","https://talent.hikvision.com/home/socity/position?postId=05B62984F3CBD9D7EBCACFD3FD6C9CF4","2026-03-06","2026-07-31"
"J015","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·VLA/具身算法","中国大陆","海康机器人","算法工程师-决策控制","杭州","具身决策与运动规划","硕士及以上","未注明","全职","Python; C++; C; LLM/Agent; 强化学习/RL; Diffusion/Flow Policy; 运动学/动力学; 运动控制; MPC; PID","MDP; 路径搜索与优化; 轨迹生成","C/C++; Python; MDP; 强化学习; LLM/LVM; Diffusion; PID/LQR/MPC; 路径搜索与优化; 轨迹生成; 运动学/动力学","研究移动机器人自主决策、局部路径与轨迹规划、运动控制和仿真；候选人需在决策、具身大模型、控制或运动规划方向至少具备一项深入能力。","平台调度和设备状态机经验可转化为决策系统叙事，但缺少机器人规划、动力学和深度学习决策项目；适合作为LeRobot项目加入高层任务规划后的进阶目标。","官方招聘详情页","https://talent.hikvision.com/home/socity/position?postId=6086F9DFD8FA9B80EDDFC9A67F9929DA","2025-08-19","2026-07-31"
"J016","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·VLA/具身算法","中国大陆","海康机器人","算法工程师-机器视觉AI","杭州","机器视觉","硕士及以上","机器视觉AI算法开发或项目应用经验优先；年限未注明","全职","C++; C; 深度学习; PyTorch; 计算机视觉","CNN; Caffe; 目标检测; 分割; OCR","C/C++; 机器视觉; 图像处理; 深度学习; CNN; TensorFlow; Caffe; PyTorch; 目标检测; 分割; OCR","研发分类、检测、分割和无监督学习算法，负责网络设计、优化部署及缺陷检测、定位引导、OCR落地。","工程落地和C基础可迁移至岗位的C++要求，但现代C++尚需补证，且简历缺少计算机视觉训练与部署成果；若不单独补做视觉数据集、模型训练和ONNX/TensorRT部署，不建议主投。","官方招聘详情页","https://talent.hikvision.com/home/socity/position?postId=5F698F261BD197F6D6AD4DE3AF2C5285","2026-07-27","2026-07-31"
"J017","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·VLA/具身算法","中国大陆","海康机器人","算法工程师-高性能计算","杭州","模型部署与推理优化","硕士及以上","未注明","全职","Python; C++; C; 深度学习; CUDA/GPU; 边缘推理","X86; ARM; DSP; 多线程; 模型加速","C/C++; Python; X86; ARM; GPU; NPU; DSP; 深度学习推理引擎; 量化; 多线程; 模型加速","将视觉/图像算法和深度学习推理引擎移植到GPU、NPU、X86、ARM等平台并加速，要求体系结构、指令集、编译原理和量化优化能力。","ARM、C、Embedded Linux和边缘设备经历是明显连接点，可迁移至岗位的C++要求但仍需现代C++实证；这是VLA研究岗之外值得发展的部署方向，另需补充ONNX/TensorRT、量化和可复现性能基准。","官方招聘详情页","https://talent.hikvision.com/home/socity/position?postId=890459DF585C28C8EE11AEA07891F836","2026-07-27","2026-07-31"
"J018","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·VLA/具身算法","中国大陆","海康威视研究院","AI算法工程师","杭州","视觉感知与强化学习","硕士及以上，博士优先","要求计算机视觉研究经验；年限未注明","全职","Python; C++; C; 深度学习; PyTorch; 强化学习/RL; 计算机视觉","模式识别; VQA; Caffe","C/C++; Python; 计算机视觉; 模式识别; 深度学习; 强化学习; VQA; Caffe; TensorFlow; PyTorch","研究实现视觉、模式识别、强化学习、VQA及3D人脸等算法；强调数学、视觉科研经验、深度学习框架和论文/竞赛成果。","与候选人当前工程型画像距离较大，且学历与科研要求较高；可用于理解视觉算法岗位通用要求，不建议作为近期主投。","官方招聘详情页","https://talent.hikvision.com/home/socity/position?postId=C8EB9BBE17400810B63B8409D1F54CD5","2026-07-16","2026-07-31"
"J019","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·VLA/具身算法","中国大陆","萤石网络","系统工程师-机器人","杭州","机器人系统与运动控制","硕士及以上","3年以上机器人相关项目经验者优先","全职","Python; C++; ROS 生态; 强化学习/RL; 运动规划; 运动学/动力学; 运动控制; MPC; PID; 机器人仿真; Gazebo/Webots/PyBullet","MATLAB/Simulink","C++; Python; ROS; Gazebo; MATLAB/Simulink; PID; MPC; 强化学习; 运动学/动力学; 路径与轨迹规划","负责机器人步态、平衡、路径与轨迹控制算法、系统建模仿真及硬件测试调优，要求机器人系统开发调试和运动控制基础。","系统联调和软硬件协作契合现有能力，但机器人项目年限、ROS、建模与运动控制是关键缺口；可优先寻找同类但更偏系统集成/应用软件的岗位。","官方招聘详情页","https://talent.hikvision.com/home/socity/position?postId=19BD4F809283D4541A6A804A88FD5039","2026-06-12","2026-07-31"
"J020","P0 近期核验","岗位方向与现有 Linux/设备通信/端边云/平台交付存在迁移重合，仍需逐条核验机器人专项技能、年限、学历与用工条件。","国内·VLA/具身算法","中国大陆","宇树科技","机器人数据运营工程师","杭州","机器人学习数据","未注明","未注明","未注明","数据采集; 网络/MQTT","数据清洗; 数据审核与标注; 数据版本控制; 质量评估; 机器人硬件管理","机器人数据采集; 数据清洗; 数据审核与标注; 数据版本控制; 质量评估; 网络通信故障排查; 机器人硬件管理","执行机器人数据采集、清洗、标注、归档和资产全生命周期管理，处理硬件、网络、数采软件异常并持续交付高质量数据。","设备联调、网络通信、故障定位、流程文档和平台经验匹配度较高，是进入具身行业的现实切入口；需补充机器人数据格式、时序同步、标注质检和LeRobotDataset实践。","官方招聘详情页/职位目录","https://www.unitree.com/cn/position/2060189838933491712/","未注明","2026-07-31"
"J021","P1 作品/专项补证后","现有端边云、数据平台或 AI 应用经验可迁移，但需先补齐与岗位一致的机器人数据、ROS2 或 Agent 可复现作品。","国内·VLA/具身算法","中国大陆","宇树科技","具身智能软件工程师","杭州","具身系统与边缘部署","未注明","未注明","未注明","边缘推理; Jetson; 机器人真机/系统集成; 数据采集","昇腾; 具身模型部署; 机器人软件架构; 异常恢复","Jetson Orin/Thor; 昇腾; 具身模型部署; 机器人软件架构; 低延迟推理; 数据采集与清洗; 异常恢复; 真机测试","将具身算法产品化并部署到嵌入式算力平台，优化感知—决策—执行链路，建设数据闭环、异常处理和真机长稳测试体系。","这是与嵌入式Linux、边缘设备、状态机、异常恢复、通信和端云平台能力最匹配的目标之一；补齐ROS2、Jetson模型部署和LeRobot真机数据闭环后可重点投递。","官方招聘详情页/职位目录","https://www.unitree.com/cn/position/2047604504966201344/","未注明","2026-07-31"
"J022","P1 作品/专项补证后","现有端边云、数据平台或 AI 应用经验可迁移，但需先补齐与岗位一致的机器人数据、ROS2 或 Agent 可复现作品。","国内·VLA/具身算法","中国大陆","宇树科技","数据管线工程师","杭州","具身数据基础设施","未注明","未注明","未注明","视频/FFmpeg","高吞吐数据流水线; 数据验证与转换; 对象存储; 元数据索引; 可视化与实验分析","高吞吐数据流水线; 视频/本体状态/动作数据; 数据验证与转换; 对象存储; 元数据索引; 可视化与实验分析","建设用于机器人多模态数据摄取、验证、转换、存储和索引的高吞吐流水线，并开发调试、可视化和实验分析工具。","全栈平台、设备数据接入、日志与存储经验可直接迁移，属于较现实的具身数据工程方向；需补足Python数据工程、对象存储/列式格式、时序对齐和规模化基准。","官方招聘详情页/职位目录","https://www.unitree.com/cn/position/2046858311420084224/","未注明","2026-07-31"
"J023","P2 中长期","算法/研究能力门槛高于当前证据，应在 PyTorch、IL/RL、VLA 和真机评测完成后再评估。","国内·VLA/具身算法","中国大陆","宇树科技","AI Infra工程师","杭州","训练与推理基础设施","未注明","未注明","未注明","VLM/多模态模型; CUDA/GPU; 边缘推理","分布式训练; 数据加载优化; 知识蒸馏; 模型编译","分布式训练; GPU集群; 数据加载优化; 低延迟推理; 量化; 知识蒸馏; 模型编译; 多模态大模型","建设大规模GPU集群AI训练系统，优化利用率、显存、吞吐和数据加载，并为机器人实时控制构建量化、蒸馏和编译后的低延迟推理流水线。","工程与部署思维相关，但当前缺少GPU集群、分布式训练和模型编译经验；应先从单机模型部署与性能剖析做起，不宜直接作为近期主投。","官方招聘详情页/职位目录","https://www.unitree.com/cn/position/2046857577249112064/","未注明","2026-07-31"
"J024","P1 作品/专项补证后","现有端边云、数据平台或 AI 应用经验可迁移，但需先补齐与岗位一致的机器人数据、ROS2 或 Agent 可复现作品。","国内·VLA/具身算法","中国大陆","宇树科技","具身数据评估工程师","杭州","具身数据与评测","未注明","未注明","未注明","VLM/多模态模型","数据价值评估; 自动化筛选; 难例挖掘; 负样本生成; 模型评测; 数据—模型闭环","多模态数据建模; 数据价值评估; 自动化筛选; 难例挖掘; 负样本生成; 模型评测; 数据—模型闭环","对大规模机器人多模态交互数据进行价值评估，建设自动筛选、难例挖掘、负样本与数据—模型协同进化机制。","测试验证、问题闭环、日志分析和数据平台经验可转化，但需要具身数据统计、离线评测、失败类型学和模型指标关联实践。","官方招聘详情页/职位目录","https://www.unitree.com/cn/position/2046858623123980288/","未注明","2026-07-31"
"J025","P2 中长期","算法/研究能力门槛高于当前证据，应在 PyTorch、IL/RL、VLA 和真机评测完成后再评估。","国内·VLA/具身算法","中国大陆","宇树科技","深度强化学习算法工程师","杭州","强化学习与足式机器人","未注明","未注明","未注明","强化学习/RL; 机器人真机/系统集成","多自由度机器人; 双足机器人; 四足机器人; 决策规划; 模型训练","深度强化学习; 多自由度机器人; 双足机器人; 四足机器人; 决策规划; 模型训练; 真机验证","研发适用于多自由度、双足和四足机器人的深度强化学习决策规划算法，并完成模型开发、调试与真实机器人验证。","与当前经历差距较大，必须具备RL训练、机器人仿真和足式真机结果；可作为长期方向观察，不应因掌握LeRobot基础就直接投递。","官方招聘详情页/职位目录","https://www.unitree.com/cn/position/1692018892890701824/","未注明","2026-07-31"
"J026","P2 中长期","算法/研究能力门槛高于当前证据，应在 PyTorch、IL/RL、VLA 和真机评测完成后再评估。","国内·VLA/具身算法","中国大陆","宇树科技","机器人运动控制算法工程师","杭州","机器人运动控制","未注明","未注明","未注明","C++; C; 运动控制","控制SDK; 机器人调试; 生产测试; 机电协同","足式机器人运动控制; 控制SDK; C/C++; 机器人调试; 生产测试; 机电协同","开发、调试和测试足式机器人运动控制算法与SDK，并参与产品规划、硬件设计建议及生产测试程序。","已有C、SDK、嵌入式调试和生产测试经验具有连接点，可迁移至岗位的C++要求但现代C++仍需补证；同时需补齐足式运动学动力学和控制算法，若以机械臂项目切入，更适合先投机器人软件/系统集成岗位。","官方招聘详情页/职位目录","https://www.unitree.com/cn/position/1526050171207548928/","未注明","2026-07-31"
"J027","P2 中长期","算法/研究能力门槛高于当前证据，应在 PyTorch、IL/RL、VLA 和真机评测完成后再评估。","国内·VLA/具身算法","中国大陆","宇树科技","AI算法工程师（大模型）","杭州","机器人多模态大模型","未注明","未注明","未注明","VLM/多模态模型; LLM/Agent; Transformer; 机器人真机/系统集成","机器人控制; 预训练与调优; 模型并行; LoRA; 数据集处理; RT系列","LLM; 多模态大模型; 机器人控制; 预训练与调优; 模型并行; FlashAttention; LoRA; 数据集处理; 真机部署; RT系列","负责语言/多模态大模型预训练调优、基于大模型的机器人控制、数据集与真机部署，并优化模型并行、FlashAttention和LoRA训练效率。","AI辅助开发和应用集成不足以满足预训练算法岗；需有PyTorch、多卡训练、VLA微调、消融实验与真机指标，属于中长期而非当前主投方向。","官方招聘详情页/职位目录","https://www.unitree.com/cn/position/1692021510983647232/","未注明","2026-07-31"
"J028","P2 中长期","算法/研究能力门槛高于当前证据，应在 PyTorch、IL/RL、VLA 和真机评测完成后再评估。","国内·VLA/具身算法","中国大陆","宇树科技","激光SLAM算法工程师","杭州","视觉/激光感知与导航","未注明","未注明","未注明","相机/传感器/标定; SLAM/定位导航","IMU; GNSS; 地形重建; 环境感知; 全局/局部规划; 自主导航","LiDAR; Camera; IMU; GNSS; 多传感器融合; SLAM; 地形重建; 环境感知; 全局/局部规划; 自主导航","开发激光、相机、IMU、GNSS多传感器标定定位建图、地形感知和人形/四足全局局部规划，并完成自主导航落地。","有传感器应用和设备联调基础，但缺少SLAM数学、点云、标定和融合定位项目；若选择此方向需另开完整导航项目，不能仅靠VLA项目覆盖。","官方招聘详情页/职位目录","https://www.unitree.com/cn/position/1569900302872608768/","未注明","2026-07-31"
"J029","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·VLA/具身算法","中国大陆","越伴动力","运控算法工程师","北京","强化学习与人形运控","硕士及以上","要求深度参与人形机器人Sim-to-Real全流程；年限未注明","未注明","Python; C++; C; Linux/Ubuntu; 强化学习/RL; 机器人仿真; Isaac; MuJoCo; Sim-to-Real/仿真","动作模仿; 全身控制","C; C++; Python; Linux; 强化学习; 动作模仿; 全身控制; Isaac Gym; Isaac Lab; MuJoCo; Sim-to-Real","开发基于强化学习的人形机器人拟人行走、动作模仿和全身控制，并在真机部署调试、解决Sim-to-Real差异。","已有C和Linux基础可迁移至岗位的C++要求，但现代C++仍需补证；该岗要求人形运控与Sim-to-Real深度经验，当前不匹配，建议把它作为12个月以上学习路线的上限参照。","官方招聘详情页","https://luvbotics.com/careers/locomotion-engineer/","未注明","2026-07-31"
